,year,전용면적(㎡)_x,price,employment_rate(%),GDP(won),economysc,consumeprc,migrationpop,bankloan(1bw),room,bath,버스노선수,단지명_enc,enc_가좌동,enc_고양동,enc_관산동,enc_대화동,enc_덕은동,enc_덕이동,enc_도내동,enc_동산동,enc_마두동,enc_백석동,enc_사리현동,enc_삼송동,enc_성사동,enc_성석동,enc_식사동,enc_신원동,enc_원흥동,enc_일산동,enc_장항동,enc_주교동,enc_주엽동,enc_중산동,enc_지축동,enc_탄현동,enc_토당동,enc_풍동,enc_행신동,enc_향동동,enc_화정동
96,2012,84,26802,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0008840951286358412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2012,84,26058,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0008840951286358412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2012,84,26925,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0008840951286358412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2012,84,27107,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0016797807444080984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2012,84,31183,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2012,119,55250,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2012,49,20000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,2,0.0018565997701352665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2012,72,18000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,5,0.0017681902572716825,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2012,84,17900,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,5,0.0017681902572716825,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2012,84,18900,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,5,0.0017681902572716825,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
